date,tone_score
2023-11-14,-0.2724
2023-11-15,1.8265
2023-11-16,0.4853
2023-11-17,1.4302
2023-11-18,1.1349
2023-11-19,0.2761
2023-11-20,-0.3907
2023-11-21,-0.0291
2023-11-22,0.9251
2023-11-23,0.7077
2023-11-24,0.8151
2023-11-25,0.2416
2023-11-26,1.8794
2023-11-27,-0.3639
2023-11-28,1.0465
2023-11-29,1.595
2023-11-30,1.0851
2023-12-01,1.43
2023-12-02,1.7857
2023-12-03,1.2741
2023-12-04,-1.0881
2023-12-05,3.0431
2023-12-06,0.9823
2023-12-07,2.1343
2023-12-08,1.1005
2023-12-09,1.328
2023-12-10,2.3717
2023-12-11,1.1158
2023-12-12,0.6422
2023-12-13,0.9107
2023-12-14,0.5063
2023-12-15,1.2462
2023-12-16,0.9453
2023-12-17,-0.4
2023-12-18,0.6877
2023-12-19,0.521
2023-12-20,1.0771
2023-12-21,0.6553
2023-12-22,0.4272
2023-12-23,0.7394
2023-12-24,-0.0388
2023-12-25,1.202
2023-12-26,0.9353
2023-12-27,-0.1234
2023-12-28,1.2612
2023-12-29,0.5699
2023-12-30,-0.4279
2023-12-31,0.3369
2024-01-01,1.42
2024-01-02,0.7001
2024-01-03,0.8324
2024-01-04,0.0967
2024-01-05,0.2529
2024-01-06,0.9403
2024-01-07,0.7066
2024-01-08,0.6173
2024-01-09,1.0041
2024-01-10,0.7112
2024-01-11,-0.0237
2024-01-12,-0.0093
2024-01-13,1.3804
2024-01-14,-1.2153
2024-01-15,0.459
2024-01-16,1.54
2024-01-17,0.5343
2024-01-18,1.2312
2024-01-19,0.9591
2024-01-20,0.9087
2024-01-21,1.7032
2024-01-22,0.3888
2024-01-23,0.3532
2024-01-24,2.482
2024-01-25,1.1928
2024-01-26,2.2965
2024-01-27,1.3972
2024-01-28,1.1137
2024-01-29,1.023
2024-01-30,1.107
2024-01-31,0.9933
2024-02-01,-0.0722
2024-02-02,1.4288
2024-02-03,0.6095
2024-02-04,1.5931
2024-02-05,4.5881
2024-02-06,-1.227
2024-02-07,1.1578
2024-02-08,0.9137
2024-02-09,0.1752
2024-02-10,0.0853
2024-02-11,1.4842
2024-02-12,1.7786
2024-02-13,0.9524
2024-02-14,0.6302
2024-02-15,1.7217
2024-02-16,0.9762
2024-02-17,1.3464
2024-02-18,1.2944
2024-02-19,0.1683
2024-02-20,2.1595
2024-02-21,0.9315
2024-02-22,2.4562
2024-02-23,-0.1773
2024-02-24,0.2252
2024-02-25,1.7146
2024-02-26,1.3849
2024-02-27,1.3013
2024-02-28,1.277
2024-02-29,1.1901
2024-03-01,1.0272
2024-03-02,1.8229
2024-03-03,1.3043
2024-03-04,1.8629
2024-03-05,1.2931
2024-03-06,0.354
2024-03-07,1.3665
2024-03-08,2.1145
2024-03-09,0.9758
2024-03-10,1.5998
2024-03-11,1.1481
2024-03-12,2.0669
2024-03-13,1.1352
2024-03-14,2.8537
2024-03-15,0.9763
2024-03-16,0.8018
2024-03-17,1.2966
2024-03-18,-0.2006
2024-03-19,-0.4429
2024-03-20,-0.2632
